,"region","sp","family","Kipps","guild","env","iso1","iso2","dist","Dgeo_m$dist","resist_dist$dist","saz_dist$dist","sta_dist$dist","re_sa_dist$dist","re_st_dist$dist","sa_st_dist$dist","sa_re_st_dist$dist","TDIV","resist_resi","saz_resi","sta_resi"
"144","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA18795_Nb","N_LGEMA18628_Nb",0.490458015267171,56.5931034086683,16.5954881074984,25.5920475643956,48.7014820484102,141.848140463436,41.3936754696239,66.3004966956241,55.2976108125892,300702,1.9101682413536,5.70049020578862,2.64666178197749
"294","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18386_S","N_LGEMA18795_Nb",0.778625954198462,504.443814205764,47.2611702937838,56.197686341569,101.634403621889,243.02273283133,93.868832271243,133.091230549695,125.729528082644,300702,0.10377377045578,5.75217142943228,12.3123025504802
"304","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18387_S","N_LGEMA18795_Nb",0.845419847328231,504.443814205764,47.2611702937838,56.197686341569,101.634403621889,243.02273283133,93.868832271243,133.091230549695,125.729528082644,300702,0.10377377045578,5.75217142943228,12.3123025504802
"317","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18527_S","N_LGEMA18795_Nb",0.770992366412205,504.443814205764,47.2611702937838,56.197686341569,101.634403621889,243.02273283133,93.868832271243,133.091230549695,125.729528082644,300702,0.10377377045578,5.75217142943228,12.3123025504802
"264","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA18817_Nm","N_LGEMA18795_Nb",0.839694656488547,62.5791561980341,16.0598655354139,26.0678293662371,60.6678599935437,151.218767554639,56.8662985795377,84.2054205441799,76.2952977490464,300702,0.940518078458156,5.76788234020289,14.0347215047509
"274","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA19537_Nm","N_LGEMA18795_Nb",0.858778625954188,62.5415259264862,16.0598655354139,26.0678293662371,60.6678599935437,151.218767554639,56.8662985795377,84.2054205441799,76.2952977490464,300702,0.943246516825841,5.77044961025937,14.0383570008806
"325","NS","difficilis","tyra",14.11,"Insectivorous","bamboo","S_LGEMA18529_S","N_LGEMA18795_Nb",0.881679389312974,504.443814205764,45.9687962650007,56.2928130171719,105.125090541388,246.292482053305,101.453818180613,140.414578121461,135.494524003002,300702,-1.18860025832732,5.84729810503518,15.8029894699792
"416","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA18817_Nm","N_LGEMA18507_Nb",0.709923664122137,78.7476602454683,20.8430951860311,27.4592304085669,59.5946003681905,152.537561906585,54.2241465727442,81.5424007745339,71.8068413795061,300702,4.55142648406537,6.05621092008171,11.399407409122
"515","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA19537_Nm","N_LGEMA18507_Nb",0.866412213740445,78.7360945071923,20.8430951860311,27.4592304085669,59.5946003681905,152.537561906585,54.2241465727442,81.5424007745339,71.8068413795061,300702,4.55226507498605,6.05699997560365,11.4005247860372
"156","NN","difficilis","tyra",14.11,"Insectivorous","bamboo","N_LGEMA18817_Nm","N_LGEMA18628_Nb",0.755725190839692,77.2604715662967,20.8430951860311,27.4592304085669,59.5946003681905,152.537561906585,54.2241465727442,81.5424007745339,71.8068413795061,300702,4.65925729381847,6.15767218536947,11.5430861141913
